,a,period,core_mass,core_radius,fenv,mass,radius,age,t_eq,t_final,R_final,M_final,Lx0,Lx_final,fenv_final,frac_env_lost,t_ML_final_Gyr,Mdot_final,Mdot_final_M_earth_per_Gyr,Mdot_final_M_earth_per_yr,Mdot_init,Mdot_init_M_earth_per_Gyr,Mdot_init_M_earth_per_yr,beta_init,beta_final,mass_star,Lbol,Lx_age,flux,flux_EARTH,core_comp,track#
planet_2225,0.09727262900695773,11.081117015600487,1.3204431686054054,1.0485116353611708,0.6270726285144467,1.3287755564140686,2.660077804122306,10.0,887.2878842650529,30.690000000000214,1.0485116353611708,1.3204431686054054,6.860952034869126e+29,9.22465672545666e+28,0.0,1.0,0.0,4060488740.1498313,0.021440681989354136,2.1440681989354136e-11,1133753087598.2598,5.986579685662587,5.986579685662587e-09,2.7467889788899558,1.6238320426599258,1.0,0.9772372209558107,1.9632229747690422e+30,140582069.87033328,102.39043690483123,rock,2
planet_1839,0.12795856393192526,16.718442815667046,9.376137284181015,1.8152583468732857,7.892015442312742,10.179505424210793,4.476996136281027,10.0,773.6155658465016,10007.0,3.0810721898274416,10.119644089529144,1.9632229747690422e+30,5.5108679728140654e+26,7.347163583721689,0.07451295576574685,1559.3680373302782,90297564.14205441,0.0004768000802562639,4.76800080256264e-13,221729239985.98175,1.1708014543355676,1.1708014543355677e-09,1.3167195409212593,1.2100343647004892,1.0,0.9772372209558107,1.9632229747690422e+30,81240488.51013207,59.17005718145089,rock,4
planet_4485,0.07097939443873921,6.907084897999254,3.124805400355176,1.334511030054407,1.4302189997988974,3.1701454225091568,2.990708098260129,10.0,1038.708614240246,33.07999999999999,1.334511030054407,3.124805400355176,1.9632229747690422e+30,1.9632229747690422e+30,0.0,1.0,0.0,67114860770.9314,0.3543879760878787,3.543879760878787e-10,1627216354807.263,8.592223898153497,8.592223898153497e-09,1.9307877589386937,1.3838957952835913,1.0,0.9772372209558107,1.9632229747690422e+30,264025978.79503745,192.29860072471774,rock,6
planet_4247,0.07704483360434064,7.811096114081303,2.616376503343785,1.2697780095286693,1.2220747546356694,2.6487461614978316,2.9001028557274777,10.0,996.9838366627116,37.640000000000256,1.2697780095286693,2.616376503343785,1.9632229747690422e+30,2.833008500654508e+29,0.0,1.0,0.0,11420540209.097004,0.060304112741079885,6.030411274107988e-11,1669627083266.487,8.816166137628228,8.816166137628227e-09,2.043678429431741,1.4207282748201526,1.0,0.9772372209558107,1.9632229747690422e+30,224090888.1663754,163.21259152685755,rock,4
planet_2715,0.08473882824763784,9.008421586634967,66.08731988655005,3.136207675798439,41.29240678938584,112.57031036762321,11.449592991871217,10.0,950.6456189061312,10010.0,7.075124611824654,112.48767187853262,3.363890306426886e+29,5.5082578008936526e+26,41.24927755824388,0.0017778221288114585,49758.4162842733,176601521.5964212,0.0009325126371967736,9.325126371967736e-13,122435442447.20616,0.6464983783305731,6.464983783305731e-10,1.0873251660421943,1.050963777310336,1.0,0.9772372209558107,1.9632229747690422e+30,185244930.73642525,134.9198330199747,rock,1
planet_4065,0.36131341316872045,79.32670962727312,6.965154530742932,1.6702917884056068,11.151715000677282,7.839379826854314,5.391538303290151,10.0,460.38147084401214,10010.0,3.119132256437739,7.831999865376323,6.860952034869126e+29,5.5082578008936526e+26,11.067994759110475,0.008441715780608745,12187.918474602933,13469509.804913292,7.11233289293586e-05,7.11233289293586e-14,23152681911.915375,0.12225358124148666,1.2225358124148668e-10,1.305322280525613,1.166214833541954,1.0,0.9772372209558107,1.9632229747690422e+30,10189270.041864464,7.4211726452035425,rock,2
planet_0801,0.07418141299869395,7.379705772145998,3.0709439988213787,1.3280299375566378,1.4449310180357273,3.115967580909883,2.9806690607240895,10.0,1016.043560066992,34.62000000000005,1.3280299375566378,3.0709439988213787,1.9632229747690422e+30,1.9632229747690422e+30,0.0,1.0,0.0,61077980903.12238,0.3225113154844926,3.2251131548449253e-10,1476185155610.0542,7.794730758857498,7.794730758857499e-09,1.9237383645520247,1.3804270618666241,1.0,0.9772372209558107,1.9632229747690422e+30,241724704.54187015,176.05586638155145,rock,8
planet_3118,0.2352572234233463,41.6778564826702,10.049899398650204,1.850874679969424,12.638643291390927,11.503827066435464,5.586807993914881,10.0,570.5430175558497,10010.0,3.396971433703209,11.454964181006341,1.9632229747690422e+30,5.5082578008936526e+26,12.265990186908633,0.033607507795456855,9595.210348339197,27732023.76507595,0.00014643397396695265,1.4643397396695265e-13,99732315932.71307,0.5266185936760395,5.266185936760395e-10,1.2626193504831273,1.151510951488023,1.0,0.9772372209558107,1.9632229747690422e+30,24033958.498968977,17.504703932242517,rock,6
planet_0310,0.15572081048772432,22.444903837477426,1.0071778539786778,0.9719444881963422,0.6306290326218386,1.0135697188918735,2.521461349366438,10.0,701.2720832526038,60.46000000000049,0.9719444881963422,1.0071778539786778,6.860952034869126e+29,6.9163238481634795e+28,0.0,1.0,0.0,1247020952.1878788,0.006584670314572848,6.584670314572848e-12,457953611167.4166,2.418141847268022,2.418141847268022e-09,2.7306934818449586,1.60345752822832,1.0,0.9772372209558107,1.9632229747690422e+30,54855216.076816246,39.952815787921516,rock,2
planet_1172,0.0673745911834307,6.387372105946374,26.277470450629917,2.4224517190609935,16.09229799481367,31.317113712643096,6.115284275529712,10.0,1066.1340322570402,10010.0,4.349013210810214,31.144412406357674,1.9632229747690422e+30,5.5082578008936526e+26,15.627014862975045,0.034268557774153476,3327.835158966153,276970857.8448782,0.001462494902313537,1.4624949023135369e-12,592517312736.3746,3.1286813210319417,3.128681321031942e-09,1.1882945971448993,1.1293368809921476,1.0,0.9772372209558107,1.9632229747690422e+30,293034635.362918,213.4265370450969,rock,4
