,a,period,core_mass,core_radius,fenv,mass,radius,age,t_eq,t_final,R_final,M_final,Lx0,Lx_final,fenv_final,frac_env_lost,t_ML_final_Gyr,Mdot_final,Mdot_final_M_earth_per_Gyr,Mdot_final_M_earth_per_yr,Mdot_init,Mdot_init_M_earth_per_Gyr,Mdot_init_M_earth_per_yr,beta_init,beta_final,mass_star,Lbol,Lx_age,flux,flux_EARTH,core_comp,track#
planet_2225,0.1083311298070078,14.765502843310317,8.264073513205567,1.7522097894457924,6.109479024574076,8.801818785698858,4.01846256244095,10.0,643.6542479205907,10002.0,2.807484290648021,8.78394758577938,6.070960780866458e+29,1.7054965961454847e+26,5.918455995974458,0.03323357885903272,2605.586834364293,37786122.01647251,0.00019952283520831168,1.9952283520831168e-13,79396183325.62552,0.4192372955060536,4.1923729550605363e-10,1.2724487674582867,1.1829636353461868,0.7779387956179237,0.3356429977167651,6.070960780866458e+29,38929810.27645615,28.35383122830018,rock,3
planet_1839,0.11963956163796513,13.729420615059826,7.043512424389771,1.6755320288743447,5.430183124905232,7.447949733996683,4.092339238011023,10.0,991.9849586238548,10009.900000000001,2.551295444082391,7.2077623792021965,4.9002621303541877e+30,1.3748990127136175e+27,2.278792587368921,0.5938803099742056,142.61021945174923,218119415.74818766,0.0011517404253626985,1.1517404253626984e-12,852796038136.5653,4.503036413984126,4.503036413984126e-09,1.5111967449410433,1.3124026523028403,1.2120174064675517,2.30956644571436,4.9002621303541877e+30,219630209.64069158,159.9637360820769,rock,5
planet_4485,0.08251503391858675,8.95759090648148,7.067880570753519,1.6771531064779974,4.22654907866748,7.379791061887302,3.6393777196914936,10.0,872.678075674812,10002.0,2.5786854156183643,7.285062382422277,1.4278383381744145e+30,4.011182930512851e+26,2.9811935748523446,0.3037046914346809,268.18564133961956,153365489.36193532,0.0008098189395372128,8.098189395372128e-13,343511460404.5477,1.8138506109884571,1.813850610988457e-09,1.3985091702517147,1.2750071096166804,0.9341214566271383,0.6580257869792022,1.4278383381744145e+30,131549132.71634579,95.81145864264077,rock,4
planet_4247,0.29944497326652597,57.35043291121375,9.132390267282833,1.8019194942871437,13.269385558945352,10.529604022913437,5.741471555734667,10.0,558.0860437122865,10010.0,3.4293557242432238,10.515848130212635,5.018308284940027e+29,8.217311873992568e+26,13.15593232042833,0.009845231372341782,9454.781478979854,27711124.8738442,0.00014632362112287271,1.4632362112287272e-13,23643971049.94838,0.1248477453550906,1.248477453550906e-10,1.2907220499590941,1.1639816232154474,1.089085366869988,1.4494364858251383,2.9287691398988893e+30,22002720.210662775,16.025287844619648,rock,1
planet_2715,0.18025082730216166,26.907515730297796,13.231542984768254,1.9990454672337497,14.347148817118107,15.447872198109193,5.831993692451245,10.0,710.2265735766609,10010.0,3.7285218998533383,15.41662984907363,9.792169570234781e+29,7.86156121611022e+26,14.173570265985699,0.014096438763476129,6406.371894573934,64594609.22526361,0.00034108024015216785,3.410802401521678e-13,79982727527.21104,0.42233443688574646,4.223344368857465e-10,1.2511761742645433,1.1528113775275421,1.0791026910434538,1.3775351552776958,2.801974445443843e+30,57711106.16809047,42.03285227100544,rock,2
planet_4065,0.19097528278627818,30.975821229798953,8.962062470745407,1.7924455220455604,9.758496685831943,9.931198109083748,4.9090685562585,10.0,597.2819546558269,10010.0,3.1497949200471265,9.914476938656579,5.906959478007191e+29,4.7423528774044923e+26,9.606300703547001,0.017253694700402764,5102.565037490513,35349001.45261552,0.00018665405750116184,1.8665405750116183e-13,42327063798.30935,0.22350046324944797,2.2350046324944796e-10,1.2780890945949726,1.1698550945033381,0.968432385937073,0.7734502531481031,1.690243350968802e+30,28866179.199372813,21.02416547660074,rock,2
planet_0801,0.13107732844495232,18.061317848511695,2.154834051224912,1.202617741929347,1.4085407164598234,2.1856193902433305,2.696105922836547,10.0,682.0483697003882,2401.000000000014,1.202617741929347,2.154834051224912,1.3368987840866616e+30,3.582022519330328e+27,0.0,1.0,0.0,104071829.08424501,0.0005495326139885754,5.495326139885754e-13,278984359550.52954,1.473126836673808,1.473126836673808e-09,1.806477939055229,1.3327064721246764,0.9210381750434925,0.619549983984022,1.3368987840866616e+30,49083150.232337855,35.74883483782801,rock,4
planet_3118,0.1756418862374765,25.38303593790931,2.2386846418773487,1.2155413910626716,1.8150134374993698,2.280068185834391,3.0226256788863957,10.0,758.1309226716154,68.53000000000047,1.2155413910626716,2.2386846418773487,3.3647716852322984e+30,3.3647716852322984e+30,0.0,1.0,0.0,17776167293.922764,0.09386386081309318,9.386386081309318e-11,597399444305.6619,3.154460540506741,3.154460540506741e-09,1.9732639403941727,1.3594284216905954,1.1219961095050488,1.6982182973194426,3.3647716852322984e+30,74928764.58082172,54.5730259146553,rock,6
planet_0310,0.08110271479859994,7.960370818318307,7.376063776341012,1.6973157450450014,4.391738577332929,7.714881189746511,3.8895660938635457,10.0,1116.8896361944367,10001.0,2.553189304445252,7.510475888212011,3.381354677731376e+30,9.50063837416163e+26,1.7896617187995238,0.6032904256011966,71.91978193788401,353940090.7928439,0.0018689171219552433,1.868917121955243e-12,1150634793934.8574,6.075720505934212,6.075720505934212e-09,1.524048121719819,1.3370170036483575,1.1231233889598158,1.7055808647309318,3.381354677731376e+30,352949663.54133046,257.06457650497487,rock,3
planet_1172,0.05283900133262575,4.462190835786799,3.48264027527182,1.3756442820939754,1.3228264074292337,3.5293271467739142,3.0383345131519013,10.0,1182.2189879210864,185.73999999999324,1.3756442820939754,3.48264027527182,3.186413168826562e+29,3.7268536694466885e+28,0.0,1.0,0.0,4443224234.490853,0.023461648071358664,2.3461648071358662e-11,627333957854.8595,3.3125243664615143,3.3125243664615144e-09,1.9626567921540414,1.402948869411514,0.9884614100491316,0.9087855438428182,1.8596443315036788e+30,443060924.63102084,322.69550228042306,rock,1
planet_1218,0.1798734941172528,29.008883222203043,5.24170669880694,1.5424961715948764,5.082588304437142,5.522386888950509,3.760598982029822,10.0,583.30046323842,10005.0,2.4702524912987682,5.47581212200834,1.3477345469177565e+30,3.784355608527422e+26,4.275263978844071,0.16593535481911237,1389.0843510665675,31917037.284716524,0.0001685321867038879,1.685321867038879e-13,90433479347.75264,0.47751775610500574,4.775177561050057e-10,1.3752657608036718,1.2370392515245394,0.9226320572434553,0.6241142727427765,1.3477345469177565e+30,26256752.671513926,19.123636323025437,rock,6
planet_3557,0.10796302749745743,12.039425811745444,2.7797856704451607,1.2915014603472004,1.6710316557021672,2.8270261727060646,3.1551439493271847,10.0,996.849562060316,258.7099999999989,1.2915014603472004,2.7797856704451607,3.9177146536923356e+30,8.439506402080062e+28,0.0,1.0,0.0,2183612109.7550755,0.011530171816615763,1.1530171816615763e-11,1956942106427.0352,10.33328154825289,1.0333281548252889e-08,2.0697896320412736,1.4020644203725114,1.1582632685374956,1.9179138071547386,3.9177146536923356e+30,223970189.57292888,163.12468286447842,rock,3
planet_2413,0.07121444516385082,6.865863369410526,4.185991878369535,1.448355860797297,2.041338937626761,4.273222840095974,3.189709640128248,10.0,1052.0896622801197,53.73000000000049,1.448355860797297,4.185991878369535,2.1742157973320695e+30,2.1742157973320695e+30,0.0,1.0,0.0,63036781085.20649,0.33285440826775303,3.3285440826775304e-10,1292304282434.8257,6.8237808121943395,6.82378081219434e-09,1.73891204078785,1.312555922831145,1.0221282042437072,1.0353988783762778,2.1742157973320695e+30,277896285.059331,202.40079028356226,rock,7
planet_2180,0.12360155493482344,17.602523502692392,3.415054796093444,1.3681165094821601,2.3560947796848977,3.4974582267966605,2.9510708458560724,10.0,627.4355148061375,10009.9,2.063638919645722,3.475892482256062,7.459692960762112e+29,2.0930154783693895e+26,1.7502752594674846,0.26170930453453284,261.27869855369335,44096934.465382546,0.00023284594763899519,2.328459476389952e-13,101247408956.03415,0.5346187704469072,5.346187704469071e-10,1.4993801803245446,1.3374256058371394,0.8130423727531304,0.39453428151407033,7.459692960762112e+29,35151844.45753475,25.602217376208852,rock,3
planet_1208,0.07621263826350189,8.944545596881424,1.5985681148592428,1.1061561931721617,0.6652139519591449,1.6092732248762625,2.309958940930355,10.0,707.418615156538,30.220000000000297,1.1061561931721617,1.5985681148592428,4.7691229937844495e+29,4.7691229937844495e+29,0.0,1.0,0.0,17878969929.368454,0.09440669167787652,9.440669167787652e-11,335316523269.159,1.7705787163258124,1.7705787163258124e-09,1.9731798417134716,1.4312485711571283,0.7381734712605218,0.2423931897508969,4.7691229937844495e+29,56803835.7441517,41.37205808022702,rock,7
planet_0357,0.0401952727139678,3.030283137176219,1.0993628319008375,0.9960731379923095,0.26586706103987084,1.102293467145973,2.935535722628465,10.0,1265.2493098986608,10.759999999999984,0.9960731379923095,1.0993628319008375,1.4963105692255364e+30,1.4963105692255364e+30,0.0,1.0,0.0,439128647231.14526,2.31874000402987,2.31874000402987e-09,46944579712810.43,247.88242725409293,2.4788242725409293e-07,3.3837941193752146,2.019903361739934,0.9435259530202239,0.689945652730508,1.4963105692255364e+30,581267664.8287867,423.3559102904492,rock,6
planet_4635,0.09059530272940158,9.609751231612998,4.998247766426422,1.5220913322974767,2.9901236825158897,5.152308152696394,3.455154604215175,10.0,998.9780029355318,10004.7,1.9366115240352137,5.010039377505539,2.7417018548363984e+30,7.698894824606733e+26,0.23535964870974135,0.923461109214322,14.83726161818585,150507834.49909684,0.0007947296059445304,7.947296059445305e-13,887393463134.7073,4.685721906915285,4.685721906915285e-09,1.6293648345053857,1.339737840201112,1.0741955494941708,1.362057837310542,2.7417018548363984e+30,225889180.25695175,164.52234541657083,rock,4
planet_3451,0.10035286658281238,13.213206415370822,3.3244579768432625,1.3578555495544422,1.969653648151138,3.3912539336657797,2.8259938041163237,10.0,664.3935783290269,417.49999999999744,1.3578555495544422,3.3244579768432625,5.867970883548551e+29,1.2286041919233855e+29,0.0,1.0,0.0,2120676290.6339114,0.011197850519877824,1.1197850519877825e-11,116055854457.58888,0.6128121090014677,6.128121090014676e-10,1.520610863028299,1.2344530324686673,0.772260878409381,0.3269804271384428,5.867970883548551e+29,44195029.949030764,32.188659831777684,rock,8
